Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC Desecrated	TC(N)	TC(N) Desecrated	TC(H)	TC(H) Desecrated	*eol
Bishibosh	Bishibosh	bishibosh	0		8	9	0	2	2	1	0		11	11	11	Bishibosh		Bishibosh (N)		Bishibosh (H)	Act 1 (H) Super A Desecrated	0
Bonebreak	Bonebreak	bonebreak	1		5	8	0	5	5	1	0		5	5	5	Bonebreak		Bonebreak (N)		Bonebreak (H)	Act 1 (H) Super A Desecrated	0
Coldcrow	Coldcrow	coldcrow	2		18	0	0	4	4	1	0		18	18	18	Coldcrow		Coldcrow (N)		Coldcrow (H)	Act 1 (H) Super A Desecrated	0
Rakanishu	Rakanishu	rakanishu	3		17	6	0	8	8	0	0	1	29	29	29	Rakanishu		Rakanishu (N)		Rakanishu (H)	Act 1 (H) Super B Desecrated	0
Treehead WoodFist	Treehead WoodFist	treehead	4		5	6	0	2	2	1	0	1	4	4	4	Treehead		Treehead (N)		Treehead (H)	Act 1 (H) Super B Desecrated	0
Griswold	Griswold	griswold	5		7	0	0	0	0	1	0	1	17	17	17	Griswold	Griswold Desecrated A	Griswold (N)	Griswold (N) Desecrated A	Griswold (H)	Griswold (H) Desecrated A	0
The Countess	The Countess	countess	6	countess	9	0	0	6	6	1	0		16	16	16	Countess	Countess Desecrated A	Countess (N)	Countess (N) Desecrated A	Countess (H)	Countess (H) Desecrated A	0
Pitspawn Fouldog	Pitspawn Fouldog	pitspawn	7		7	18	0	4	4	1	0		31	31	31	Pitspawn		Pitspawn (N)		Pitspawn (H)	Act 1 (H) Super B Desecrated	0
Flamespike the Crawler	Flamespike the Crawler	flamespike	8		9	7	0	6	6	1	0		16	16	16	Flamespike		Flamespike (N)		Flamespike (H)	Act 1 (H) Unique C Desecrated	0
Boneash	Boneash	boneash	9		8	5	18	0	0	1	0		15	15	15	Boneash		Boneash (N)		Boneash (H)	Act 1 (H) Super C Desecrated	0
Radament	Radament	radament	10		6	0	0	3	3	1	0		30	30	30	Radament	Radament Desecrated A	Radament (N)	Radament (N) Desecrated A	Radament (H)	Radament (H) Desecrated A	0
Bloodwitch the Wild	Bloodwitch the Wild	bloodwitch	11		5	7	0	5	5	1	0		29	29	29	Bloodwitch		Bloodwitch (N)		Bloodwitch (H)	Act 2 (H) Super A Desecrated	0
